Level,Date and Time,Source,Event ID,Task Category
Information,16-Sep-20 11:36:29 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from pieprasīt startēšanu to startēt automātiski.
Warning,16-Sep-20 10:14:42 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-C1R04V7\sakov SID (S-1-5-21-1674230623-2899171402-1259877898-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,16-Sep-20 10:12:54 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from startēt automātiski to pieprasīt startēšanu.
Warning,16-Sep-20 10:10:56 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-C1R04V7\sakov SID (S-1-5-21-1674230623-2899171402-1259877898-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,16-Sep-20 10:06:15 AM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Drošības informācijas atjauninājums produktam Microsoft Defender Antivirus - KB2267602 (versija 1.323.1249.0)
Information,16-Sep-20 10:06:09 AM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Drošības informācijas atjauninājums produktam Microsoft Defender Antivirus - KB2267602 (versija 1.323.1249.0)
Information,16-Sep-20 10:06:09 AM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,16-Sep-20 10:04:26 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\sakov\AppData\Local\Packages\Microsoft.ZuneVideo_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 29 keys and creating 2 modified pages.
Information,16-Sep-20 10:03:53 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\sakov\AppData\Local\Packages\Microsoft.SkypeApp_kzf8qxf38zg5c\SystemAppData\Helium\UserClasses.dat was cleared updating 2 keys and creating 1 modified pages.
Information,16-Sep-20 10:03:53 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\sakov\AppData\Local\Packages\Microsoft.SkypeApp_kzf8qxf38zg5c\SystemAppData\Helium\User.dat was cleared updating 1 keys and creating 1 modified pages.
Information,16-Sep-20 10:03:46 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\sakov\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 5 keys and creating 1 modified pages.
